timestamp,packet_length,dst_port,src_port,tcp_flag_syn,tcp_flag_fin,tcp_flag_psh,tcp_flag_ack,inter_arrival_time,traffic_type,is_attack
1781260094.3538043,45,53184,55133,0,0,1,1,0.0,rest_normal,0
1781260094.3538656,44,55133,53184,0,0,0,1,6.127357482910156e-05,rest_normal,0
1781260094.3539617,45,55133,53184,0,0,1,1,9.608268737792969e-05,rest_normal,0
1781260094.3539877,44,53184,55133,0,0,0,1,2.5987625122070312e-05,rest_normal,0
1781260094.3540876,85,53184,55133,0,0,1,1,9.989738464355469e-05,rest_normal,0
1781260094.3541217,44,55133,53184,0,0,0,1,3.409385681152344e-05,rest_normal,0
1781260094.354216,121,55133,53184,0,0,1,1,9.441375732421875e-05,rest_normal,0
1781260094.354238,44,53184,55133,0,0,0,1,2.193450927734375e-05,rest_normal,0
1781260094.3544815,45,51973,55063,0,0,1,1,0.0002434253692626953,rest_normal,0
1781260094.3545175,44,55063,51973,0,0,0,1,3.600120544433594e-05,rest_normal,0
1781260094.3545835,45,55063,51973,0,0,1,1,6.604194641113281e-05,rest_normal,0
1781260094.3546047,44,51973,55063,0,0,0,1,2.1219253540039062e-05,rest_normal,0
1781260094.3546796,85,51973,55063,0,0,1,1,7.486343383789062e-05,rest_normal,0
1781260094.3547091,44,55063,51973,0,0,0,1,2.956390380859375e-05,rest_normal,0
1781260094.354813,121,55063,51973,0,0,1,1,0.00010395050048828125,rest_normal,0
1781260094.3548336,44,51973,55063,0,0,0,1,2.0503997802734375e-05,rest_normal,0
1781260094.407859,45,53184,55133,0,0,1,1,0.05302548408508301,rest_normal,0
1781260094.4079113,44,55133,53184,0,0,0,1,5.221366882324219e-05,rest_normal,0
1781260094.4079514,45,55133,53184,0,0,1,1,4.00543212890625e-05,rest_normal,0
1781260094.407982,44,53184,55133,0,0,0,1,3.075599670410156e-05,rest_normal,0
1781260094.40801,85,53184,55133,0,0,1,1,2.7894973754882812e-05,rest_normal,0
1781260094.408038,44,55133,53184,0,0,0,1,2.7894973754882812e-05,rest_normal,0
1781260094.408096,121,55133,53184,0,0,1,1,5.817413330078125e-05,rest_normal,0
1781260094.4081225,44,53184,55133,0,0,0,1,2.6464462280273438e-05,rest_normal,0
1781260094.4148653,45,51973,55063,0,0,1,1,0.006742715835571289,rest_normal,0
1781260094.414917,44,55063,51973,0,0,0,1,5.173683166503906e-05,rest_normal,0
1781260094.4149723,45,55063,51973,0,0,1,1,5.53131103515625e-05,rest_normal,0
1781260094.4149969,44,51973,55063,0,0,0,1,2.4557113647460938e-05,rest_normal,0
1781260094.4150324,85,51973,55063,0,0,1,1,3.552436828613281e-05,rest_normal,0
1781260094.4150612,44,55063,51973,0,0,0,1,2.8848648071289062e-05,rest_normal,0
1781260094.41517,121,55063,51973,0,0,1,1,0.0001087188720703125,rest_normal,0
